plate,well,label,cell,raw_zsum_wedge_r_gini,den_zsum_wedge_r_gini,delta_zsum_wedge_r_gini,pct_zsum_wedge_r_gini,raw_maxip_wedge_r_gini,den_maxip_wedge_r_gini,delta_maxip_wedge_r_gini,pct_maxip_wedge_r_gini,raw_zsum_wedge_r_ks_vs_uniform,den_zsum_wedge_r_ks_vs_uniform,delta_zsum_wedge_r_ks_vs_uniform,pct_zsum_wedge_r_ks_vs_uniform,raw_maxip_wedge_r_ks_vs_uniform,den_maxip_wedge_r_ks_vs_uniform,delta_maxip_wedge_r_ks_vs_uniform,pct_maxip_wedge_r_ks_vs_uniform
3,B02,TRAK iso mito · no TRAK,cell5,0.6005968792689748,0.5605933548897966,-0.0400035243791782,-6.6606280784990215,0.5238299070192026,0.5239726595707465,0.00014275255154383437,0.027251699383899694,0.5572731105769458,0.520003472964992,-0.03726963761195379,-6.687858592956059,0.507171000819017,0.507443783611948,0.0002727827929309701,0.0537851715674714
3,B03,TRAK iso mito · TRAK1,cell7,0.6785401851266292,0.656496252691834,-0.022043932434795188,-3.2487290978472187,0.6491034290292128,0.6520577348891002,0.0029543058598874294,0.45513638162501086,0.2987997887994086,0.27138598688745763,-0.027413801911950975,-9.174638985556482,0.27288478231339197,0.26061584488583844,-0.012268937427553528,-4.4960137841117795
3,B04,TRAK iso mito · TRAK2,cell1,0.7542378216558868,0.7088498165157789,-0.04538800514010788,-6.017731256231762,0.6927123258261202,0.6946005336736896,0.0018882078475693787,0.2725818174691096,0.5773522855671895,0.5177298536282244,-0.059622431938965104,-10.326872072636235,0.502332324057376,0.502868181468132,0.0005358574107559022,0.10667388600991103
3,B06,TRAK1 muts · mDRH/dSp,Cell1,0.5988540850195201,0.5686781738702842,-0.0301759111492359,-5.0389421904423175,0.590957030142995,0.5907409304602619,-0.00021609968273317293,-0.036567748873531945,0.42944318280483873,0.406438895492255,-0.02300428731258375,-5.356770868345135,0.42482528328272406,0.4259025601676666,0.001077276884942524,0.25358116085232835
11_good,E05,TRAK1 muts · wt,Cell2,0.7492591807120894,0.6474554947983386,-0.10180368591375077,-13.587245713425553,0.61134137709384,0.5862701250648685,-0.025071252028971425,-4.101023252859756,0.4448278276352222,0.39739299114354765,-0.04743483649167457,-10.663639625210939,0.390125044656067,0.3755885518548604,-0.014536492801206613,-3.7261111534179867
11_good,F05,TRAK2 muts · wt,Cell1,0.7768988481670918,0.6745765989111341,-0.10232224925595768,-13.17060123043852,0.679779241979375,0.6755004458913003,-0.004278796088074688,-0.6294390625426761,0.6272466436822961,0.5235940835434316,-0.10365256013886448,-16.52500833330327,0.5108962570484865,0.5065918776270872,-0.004304379421399274,-0.8425153564964887
11_good,E07,TRAK2 muts · mDRH+mSp,Cell3,0.6965994448235404,0.6375213111045329,-0.0590781337190075,-8.480933218942331,0.6749945604778944,0.6733485105345948,-0.0016460499432996434,-0.24386121602731795,0.4191771232702223,0.3827431528484777,-0.036433970421744566,-8.691784069107566,0.40779809607397743,0.4075065980669478,-0.0002914980070296558,-0.07148096321096506
12,F04,MAPK9 · ctrl ctrl,cell11,0.6031999866534817,0.549795040481357,-0.05340494617212477,-8.853605330532629,0.4705740556830287,0.4680433308873837,-0.0025307247956449785,-0.5377952237446841,0.5655185596407344,0.521113945457889,-0.04440461418284536,-7.85201713115392,0.45099354155812327,0.4480814779799061,-0.002912063578217161,-0.6456996187032669
12,B04,MAPK9 · ctrl Ars,Cell10,0.6462867817284229,0.5620028131405628,-0.08428396858786014,-13.041264492900803,0.5222267308705361,0.5219608512834221,-0.00026587958711399295,-0.05091267286735395,0.46005320060014926,0.41068868966363625,-0.049364510936513006,-10.730174438981392,0.37372142606882774,0.37260133731105893,-0.0011200887577688112,-0.2997122133325388
12,C04,MAPK9 · MAPK9 Ars,cell1,0.6486956737385886,0.5733924730370026,-0.07530320070158603,-11.608401867025817,0.5449587189994756,0.5448640898493613,-0.00009462915011426709,-0.017364462080357714,0.5668720418104571,0.5319326565301068,-0.034939385280350344,-6.163540041375491,0.48248598289004535,0.48203162057033416,-0.0004543623197111879,-0.09417109218170455
